Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.8218366483283961,0.8305541932319764,0.8555190704723415,0.8428518103770063
Random Forest,0.8269149386373255,0.8121572212065814,0.8977014397575145,0.8527894421115777
BERT,0.9209,0.922,0.9376,0.9297
